model,seed,feature,perturbation,original_pooled_mae,original_patient_mae,original_rmse,original_bis_below_40_mae,original_bis_40_to_60_mae,original_bis_above_60_mae,perturbed_pooled_mae,perturbed_patient_mae,perturbed_rmse,perturbed_bis_below_40_mae,perturbed_bis_40_to_60_mae,perturbed_bis_above_60_mae,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,contribution_rank
attention,7,mbp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.170276457357468,3.37233304977417,4.407685127700099,3.016378164291382,3.0755209922790527,4.593295097351074,0.00012436768359069816,0.00011515617370605469,-0.001005103853830569,-0.0009248256683349609,-0.0004394054412841797,0.009200096130371094,12.0
attention,7,sbp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.1701869931015585,3.3722033500671387,4.407697725465851,3.017009735107422,3.0753281116485596,4.590724945068359,3.490342768097676e-05,-1.4543533325195312e-05,-0.0009925060880791037,-0.0002932548522949219,-0.0006322860717773438,0.00662994384765625,16.0
attention,7,dbp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.178708036064276,3.3814003467559814,4.413203533476923,2.9867660999298096,3.088639259338379,4.7383809089660645,0.008555946390398361,0.009182453155517578,0.0045133019229934845,-0.030536890029907227,0.012678861618041992,0.15428590774536133,4.0
attention,7,spo2,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.182991158473882,3.3903818130493164,4.417643062452787,2.9753687381744385,3.0939228534698486,4.806116104125977,0.012839068800004405,0.01816391944885254,0.008952830898857123,-0.04193425178527832,0.01796245574951172,0.22202110290527344,3.0
attention,7,etco2,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.1698759293693346,3.3718507289886475,4.40603397025529,3.0166547298431396,3.074819803237915,4.592123031616211,-0.0002761603045429162,-0.00036716461181640625,-0.002656261298639606,-0.0006482601165771484,-0.001140594482421875,0.008028030395507812,17.0
attention,7,ppf_rate,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.1702252800076454,3.372340440750122,4.407320639842798,3.0167365074157715,3.0751404762268066,4.593904972076416,7.319033376784745e-05,0.00012254714965820312,-0.0013695917111320455,-0.0005664825439453125,-0.0008199214935302734,0.00980997085571289,11.0
attention,7,ppf_volume,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.1702633815299235,3.3722927570343018,4.407141856052292,3.0168018341064453,3.0750508308410645,4.594797134399414,0.0001112918560459697,7.486343383789062e-05,-0.0015483755016374445,-0.0005011558532714844,-0.0009095668792724609,0.010702133178710938,13.0
attention,7,ppf_cp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.175151074907984,3.381028413772583,4.411370904008266,2.997276782989502,3.0780107975006104,4.725144386291504,0.004998985234106357,0.00881052017211914,0.0026806724543364524,-0.020026206970214844,0.0020503997802734375,0.14104938507080078,5.0
attention,7,ppf_ce,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.211879341321619,3.4296300411224365,4.463637274272435,2.931550979614258,3.143234968185425,5.008421421051025,0.0417272516477416,0.057412147521972656,0.05494704271850548,-0.08575201034545898,0.06727457046508789,0.42432641983032227,2.0
attention,7,rftn_rate,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.1701389504844752,3.3723480701446533,4.408563578645579,3.01694917678833,3.0759315490722656,4.585750102996826,-1.3139189402266993e-05,0.00013017654418945312,-0.00012665290835123244,-0.00035381317138671875,-2.8848648071289062e-05,0.0016551017761230469,10.0
attention,7,rftn_volume,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.170173916266493,3.372281551361084,4.408200502838464,3.017141342163086,3.075648307800293,4.587504863739014,2.1826592615514784e-05,6.365776062011719e-05,-0.0004897287154657093,-0.00016164779663085938,-0.0003120899200439453,0.003409862518310547,14.0
attention,7,rftn_cp,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.171022157459727,3.3738315105438232,4.408826508667364,3.0149803161621094,3.0758726596832275,4.60677433013916,0.0008700677858493044,0.001613616943359375,0.00013627711343389137,-0.002322673797607422,-8.7738037109375e-05,0.02267932891845703,7.0
attention,7,rftn_ce,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.1712180903461955,3.3750579357147217,4.40828632409972,3.0151898860931396,3.0756654739379883,4.60999059677124,0.0010660006723179904,0.0028400421142578125,-0.0004039074542099286,-0.0021131038665771484,-0.0002949237823486328,0.02589559555053711,6.0
attention,7,bis_slope,feature_unavailable_value_zero_mask_zero_all_six_steps,3.1701520896738775,3.372217893600464,4.40869023155393,3.017302989959717,3.075960397720337,4.584095001220703,3.1708822383582835,3.372954845428467,4.408459528900257,3.0134212970733643,3.0771732330322266,4.602046966552734,0.0007301486844060179,0.0007369518280029297,-0.0002307026536731982,-0.003881692886352539,0.0012128353118896484,0.01795196533203125,8.0
