model,seed,group,member_features,repetition,permutation,all_multiwindow_patient_shifts_nonzero,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,seed_group_mean_delta_patient_mae,seed_group_sample_sd_delta_patient_mae,seed_group_minimum_delta_patient_mae,seed_group_maximum_delta_patient_mae,contribution_rank
gru,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",2,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.028348588792353357,0.049419403076171875,0.0344324889165204,0.06396365165710449,-0.0028591156005859375,0.10565471649169922,0.05676357746124268,0.007444312196043191,0.04806327819824219,0.07348942756652832,3.0
gru,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",3,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.04973431251490945,0.07348942756652832,0.06129387199881897,0.07584214210510254,0.013657808303833008,0.2074146270751953,0.05676357746124268,0.007444312196043191,0.04806327819824219,0.07348942756652832,3.0
gru,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",4,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.03695537590871378,0.05469536781311035,0.0532130738331178,0.07319235801696777,-0.00688934326171875,0.20814800262451172,0.05676357746124268,0.007444312196043191,0.04806327819824219,0.07348942756652832,3.0
gru,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",5,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.03703874376881133,0.04806327819824219,0.052528822393567154,0.04918241500854492,0.008505582809448242,0.2003188133239746,0.05676357746124268,0.007444312196043191,0.04806327819824219,0.07348942756652832,3.0
gru,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",6,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.042836029857855173,0.05781364440917969,0.059629859988826084,0.0837550163269043,-8.797645568847656e-05,0.18574905395507812,0.05676357746124268,0.007444312196043191,0.04806327819824219,0.07348942756652832,3.0
gru,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",7,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.03237136908436122,0.05637502670288086,0.046249438011871646,0.06630444526672363,0.002714395523071289,0.10544013977050781,0.05676357746124268,0.007444312196043191,0.04806327819824219,0.07348942756652832,3.0
gru,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",8,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.03472760423610355,0.05376791954040527,0.048521394310840904,0.06627464294433594,0.011394262313842773,0.07022571563720703,0.05676357746124268,0.007444312196043191,0.04806327819824219,0.07348942756652832,3.0
gru,7,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",9,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.031238392689849626,0.05291008949279785,0.03848738027160703,0.07515788078308105,0.0057256221771240234,0.027307510375976562,0.05676357746124268,0.007444312196043191,0.04806327819824219,0.07348942756652832,3.0
gru,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",0,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.008631416519618185,-2.384185791015625e-05,0.004736398281740328,0.006241321563720703,-0.002013683319091797,-0.12671899795532227,0.0045850276947021484,0.005895599258436355,-0.0040323734283447266,0.011742591857910156,5.0
gru,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",1,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.008323008835854573,0.010602474212646484,0.0033904348739852708,0.003997802734375,-0.00917673110961914,-0.057663917541503906,0.0045850276947021484,0.005895599258436355,-0.0040323734283447266,0.011742591857910156,5.0
gru,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",2,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.007927908697574981,0.0003724098205566406,0.005203819625507755,-7.295608520507812e-05,-0.0046694278717041016,-0.06848430633544922,0.0045850276947021484,0.005895599258436355,-0.0040323734283447266,0.011742591857910156,5.0
gru,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",3,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.00528488367400648,0.00972747802734375,0.0036778339885286115,0.00652313232421875,-0.003961324691772461,-0.06896114349365234,0.0045850276947021484,0.005895599258436355,-0.0040323734283447266,0.011742591857910156,5.0
gru,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",4,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.004790401469934924,0.0063593387603759766,0.009475577398290191,-0.004116535186767578,0.00206756591796875,-0.06032609939575195,0.0045850276947021484,0.005895599258436355,-0.0040323734283447266,0.011742591857910156,5.0
gru,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",5,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.0005125497369533605,0.0025911331176757812,0.008834028137216343,0.002758502960205078,-0.002646207809448242,0.0009822845458984375,0.0045850276947021484,0.005895599258436355,-0.0040323734283447266,0.011742591857910156,5.0
gru,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",6,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.0056464442317931685,-0.0020034313201904297,0.011441444944137125,0.0036025047302246094,-0.004580974578857422,-0.05574226379394531,0.0045850276947021484,0.005895599258436355,-0.0040323734283447266,0.011742591857910156,5.0
gru,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",7,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.008451288386484901,0.010514497756958008,0.009068063185561748,0.010074853897094727,-0.007920980453491211,-0.09652280807495117,0.0045850276947021484,0.005895599258436355,-0.0040323734283447266,0.011742591857910156,5.0
gru,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",8,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.008096143496625796,-0.0040323734283447266,0.008004042124468924,0.008324146270751953,-0.0035839080810546875,-0.11708879470825195,0.0045850276947021484,0.005895599258436355,-0.0040323734283447266,0.011742591857910156,5.0
gru,7,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",9,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.005603732854523091,0.011742591857910156,0.006613407136051741,0.018304824829101562,-0.008133649826049805,-0.09466552734375,0.0045850276947021484,0.005895599258436355,-0.0040323734283447266,0.011742591857910156,5.0
gru,7,hemodynamic,"hr,mbp,sbp,dbp",0,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.010248321898597368,0.030256032943725586,0.005171180969254507,0.026586294174194336,-0.000301361083984375,0.01689004898071289,0.0135145902633667,0.012445037259186234,-0.0028460025787353516,0.030256032943725586,4.0
gru,7,hemodynamic,"hr,mbp,sbp,dbp",1,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.008720770060197225,0.019295692443847656,0.003703805845675312,0.01784968376159668,0.005575656890869141,-0.008611202239990234,0.0135145902633667,0.012445037259186234,-0.0028460025787353516,0.030256032943725586,4.0
gru,7,hemodynamic,"hr,mbp,sbp,dbp",2,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.014016040153158382,0.02550506591796875,0.006512446076127887,0.016710281372070312,0.0022764205932617188,0.09163331985473633,0.0135145902633667,0.012445037259186234,-0.0028460025787353516,0.030256032943725586,4.0
gru,7,hemodynamic,"hr,mbp,sbp,dbp",3,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.007546989189261666,0.02055835723876953,0.006117930489821788,0.011032342910766602,0.003699779510498047,0.02117919921875,0.0135145902633667,0.012445037259186234,-0.0028460025787353516,0.030256032943725586,4.0
gru,7,hemodynamic,"hr,mbp,sbp,dbp",4,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.00035283464489310745,-0.0006630420684814453,-0.005006309707100698,0.00832056999206543,-0.007107973098754883,0.0120086669921875,0.0135145902633667,0.012445037259186234,-0.0028460025787353516,0.030256032943725586,4.0
gru,7,hemodynamic,"hr,mbp,sbp,dbp",5,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.0018007434272253597,-0.0016772747039794922,-0.0085821828538295,0.0025930404663085938,-0.0009033679962158203,-0.02859354019165039,0.0135145902633667,0.012445037259186234,-0.0028460025787353516,0.030256032943725586,4.0
gru,7,hemodynamic,"hr,mbp,sbp,dbp",6,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.001066182026044249,-0.0028460025787353516,-0.006068480526719711,0.007918119430541992,0.00460052490234375,-0.0570521354675293,0.0135145902633667,0.012445037259186234,-0.0028460025787353516,0.030256032943725586,4.0
gru,7,hemodynamic,"hr,mbp,sbp,dbp",7,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,-0.00206772544207956,0.004409074783325195,-0.006197564843930081,0.014188528060913086,-0.00944972038269043,-0.019296646118164062,0.0135145902633667,0.012445037259186234,-0.0028460025787353516,0.030256032943725586,4.0
gru,7,hemodynamic,"hr,mbp,sbp,dbp",8,within_patient_nonzero_circular_shift_complete_trajectory_and_mask,True,0.003198047915119684,0.023007631301879883,-0.009658100734787567,0.023122549057006836,-0.002369403839111328,-0.04455232620239258,0.0135145902633667,0.012445037259186234,-0.0028460025787353516,0.030256032943725586,4.0
