model,seed,group,member_features,perturbation,original_pooled_mae,original_patient_mae,original_rmse,original_bis_below_40_mae,original_bis_40_to_60_mae,original_bis_above_60_mae,perturbed_pooled_mae,perturbed_patient_mae,perturbed_rmse,perturbed_bis_below_40_mae,perturbed_bis_40_to_60_mae,perturbed_bis_above_60_mae,delta_pooled_mae,delta_patient_mae,delta_rmse,delta_bis_below_40_mae,delta_bis_40_to_60_mae,delta_bis_above_60_mae,contribution_rank
gru,21,current_bis,bis,group_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,7.403287444040241,8.548654556274414,9.913874350848532,9.187211036682129,4.4073405265808105,22.239913940429688,4.144904520187262,5.114026069641113,5.4084357736267705,6.257188558578491,1.1726949214935303,17.3108229637146,1.0
gru,21,bis_quality_and_dynamics,"bis_sqi,bis_slope",group_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.516694591811935,3.7052183151245117,4.76361692884462,3.0494868755340576,3.5730786323547363,5.20392370223999,0.25831166795895566,0.27058982849121094,0.25817835162285796,0.11946439743041992,0.33843302726745605,0.27483272552490234,4.0
gru,21,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,4.2055113084132385,4.412469387054443,5.463130725606332,4.290310859680176,4.061054706573486,4.926409721374512,0.9471283845602594,0.9778409004211426,0.9576921483845702,1.360288381576538,0.826409101486206,-0.002681255340576172,2.0
gru,21,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.272527066233125,3.4694743156433105,4.53465739368056,3.260880708694458,3.1356914043426514,4.372472286224365,0.01414414238014583,0.034845829010009766,0.029218816458798536,0.3308582305908203,-0.0989542007446289,-0.5566186904907227,6.0
gru,21,hemodynamic,"hr,mbp,sbp,dbp",group_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.6331309682257453,3.783942222595215,4.8397556744158905,3.1053731441497803,3.7727713584899902,4.957829475402832,0.3747480443727662,0.34931373596191406,0.3343170971941287,0.17535066604614258,0.53812575340271,0.02873849868774414,3.0
gru,21,respiratory,"spo2,etco2",group_unavailable_value_zero_mask_zero_all_six_steps,3.258382923852979,3.434628486633301,4.505438577221762,2.9300224781036377,3.2346456050872803,4.929090976715088,3.369291961885755,3.5336060523986816,4.618170277091675,3.0579230785369873,3.3652291297912598,4.812390327453613,0.11090903803277596,0.09897756576538086,0.11273169986991327,0.1279006004333496,0.1305835247039795,-0.11670064926147461,5.0
attention,21,current_bis,bis,group_unavailable_value_zero_mask_zero_all_six_steps,3.21383903143845,3.3884236812591553,4.459486575309278,3.209949493408203,3.054980993270874,4.447133541107178,44.49664945207245,43.90980911254883,45.71296953780963,54.37576675415039,41.655242919921875,21.440336227416992,41.28281042063399,40.52138543128967,41.25348296250035,51.16581726074219,38.600261926651,16.993202686309814,1.0
attention,21,bis_quality_and_dynamics,"bis_sqi,bis_slope",group_unavailable_value_zero_mask_zero_all_six_steps,3.21383903143845,3.3884236812591553,4.459486575309278,3.209949493408203,3.054980993270874,4.447133541107178,3.2133144999294863,3.38759446144104,4.457972008820198,3.2005062103271484,3.056190013885498,4.473791599273682,-0.0005245315089639213,-0.0008292198181152344,-0.0015145664890798827,-0.009443283081054688,0.0012090206146240234,0.026658058166503906,6.0
attention,21,propofol,"ppf_rate,ppf_volume,ppf_cp,ppf_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.21383903143845,3.3884236812591553,4.459486575309278,3.209949493408203,3.054980993270874,4.447133541107178,3.3281274858894085,3.5093002319335938,4.605746597589773,3.03515887260437,3.0998151302337646,6.403846263885498,0.11428845445095837,0.12087655067443848,0.1462600222804955,-0.174790620803833,0.044834136962890625,1.9567127227783203,2.0
attention,21,remifentanil,"rftn_rate,rftn_volume,rftn_cp,rftn_ce",group_unavailable_value_zero_mask_zero_all_six_steps,3.21383903143845,3.3884236812591553,4.459486575309278,3.209949493408203,3.054980993270874,4.447133541107178,3.213856988815736,3.388108968734741,4.459093758974302,3.2068912982940674,3.055628776550293,4.456281661987305,1.7957377285604537e-05,-0.0003147125244140625,-0.0003928163349753433,-0.003058195114135742,0.0006477832794189453,0.009148120880126953,5.0
attention,21,hemodynamic,"hr,mbp,sbp,dbp",group_unavailable_value_zero_mask_zero_all_six_steps,3.21383903143845,3.3884236812591553,4.459486575309278,3.209949493408203,3.054980993270874,4.447133541107178,3.215225903945065,3.390355348587036,4.464717215844801,3.20123553276062,3.05615234375,4.49597692489624,0.0013868725066146226,0.0019316673278808594,0.0052306405355233565,-0.008713960647583008,0.0011713504791259766,0.0488433837890625,3.0
attention,21,respiratory,"spo2,etco2",group_unavailable_value_zero_mask_zero_all_six_steps,3.21383903143845,3.3884236812591553,4.459486575309278,3.209949493408203,3.054980993270874,4.447133541107178,3.214886482311311,3.3893256187438965,4.4602198908302455,3.2030906677246094,3.054919481277466,4.492523670196533,0.0010474508728606224,0.0009019374847412109,0.0007333155209678921,-0.00685882568359375,-6.151199340820312e-05,0.04539012908935547,4.0
